model,t_abs,L,rank,lambda_exact,lambda_fv_fine,lambda_fem_fine,kx,ky,multiplicity
kk_interval_neumann,0.0001,30.0,7,0.5373451285037539,0.53733468516117,0.5373555720091956,7,0,1
kk_interval_neumann,0.0001,30.0,8,0.7018385351885765,0.7018207193490298,0.7018563513896413,8,0,1
kk_interval_neumann,0.0001,30.0,9,0.8882643960980422,0.8882358586453165,0.8882929342845824,9,0,1
kk_interval_neumann,0.0001,30.0,10,1.0966227112321507,1.0965792157787178,1.0966662080653506,10,0,1
kk_interval_neumann,0.0001,30.0,11,1.3269134805909022,1.326849799109823,1.3269771645166635,11,0,1
kk_interval_neumann,0.0001,30.0,12,1.5791367041742972,1.5790465126321465,1.5792268998376473,12,0,1
kk_interval_neumann,0.0001,30.0,13,1.8532923819823355,1.853168155978267,1.8534166146479736,13,0,1
kk_interval_neumann,0.0001,30.0,14,2.1493805140150157,2.149213424426989,2.149547613995019,14,0,1
kk_interval_neumann,0.0001,30.0,15,2.4674011002723386,2.4671809089069257,2.467621307357441,15,0,1
kk_interval_neumann,0.0001,30.0,16,2.807354140754306,2.807069096006728,2.8076392086554085,16,0,1
kk_interval_neumann,0.0001,30.0,17,3.1692396354609165,3.168876367978669,3.169602936254173,17,0,1
kk_interval_neumann,0.0001,30.0,18,3.553057584392169,3.5526010027488724,3.553514212974299,18,0,1
kk_interval_neumann,0.0001,30.0,19,3.9588079875480644,3.9582411739234544,3.9593748660977877,19,0,1
kk_interval_neumann,0.0001,30.0,20,4.386490844928603,4.385794950799266,4.387186827378818,20,0,1
kk_interval_neumann,0.0001,30.0,21,4.836106156533785,4.835260298372589,4.836952133052426,21,0,1
kk_interval_neumann,0.0001,30.0,22,5.307653922363609,5.306635077347323,5.308672923842682,22,0,1
kk_interval_neumann,0.0001,30.0,23,5.801134142418078,5.799917044146753,5.802351444974432,23,0,1
kk_interval_neumann,0.0001,30.0,24,6.316546816697189,6.3151038509237765,6.3179900461835246,24,0,1
kk_interval_neumann,0.0001,30.0,25,6.853891945200944,6.852193045571653,6.855591181727521,25,0,1
kk_interval_neumann,0.0001,30.0,26,7.413169527929342,7.411182071736789,7.415157410398468,26,0,1
kk_interval_neumann,0.0001,30.0,27,7.994379564882379,7.992068268828973,7.996691395533101,27,0,1
kk_interval_neumann,0.0001,30.0,28,8.597522056060063,8.594848872037232,8.600195905028672,28,0,1
kk_interval_neumann,0.0001,30.0,29,9.222597001462391,9.21952101233802,9.225673811351093,29,0,1
kk_interval_neumann,0.0001,30.0,30,9.869604401089354,9.866081716515168,9.873128091554873,30,0,1
kk_interval_neumann,1e-05,36.0,1,0.007615435494667714,0.007615433397234028,0.007615437592463903,1,0,1
kk_interval_neumann,1e-05,36.0,2,0.030461741978670857,0.03046170841662388,0.03046177554030186,2,0,1
kk_interval_neumann,1e-05,36.0,3,0.06853891945200942,0.06853874954532557,0.06853908935894534,3,0,1
kk_interval_neumann,1e-05,36.0,4,0.12184696791468343,0.12184643092638225,0.12184750490522991,4,0,1
kk_interval_neumann,1e-05,36.0,5,0.19038588736669287,0.19038457636077055,0.1903871983794416,5,0,1
kk_interval_neumann,1e-05,36.0,6,0.2741556778080377,0.27415295930995853,0.2741583963278747,6,0,1
kk_interval_neumann,1e-05,36.0,7,0.373156339238718,0.37315130289232457,0.3731613756392509,7,0,1
kk_interval_neumann,1e-05,36.0,8,0.4873878716587337,0.4873792798887848,0.48739646355034627,8,0,1
kk_interval_neumann,1e-05,36.0,9,0.6168502750680849,0.6168365127392121,0.6168640376424105,9,0,1
kk_interval_neumann,1e-05,36.0,10,0.7615435494667715,0.7615225735485751,0.7615645258473054,10,0,1
kk_interval_neumann,1e-05,36.0,11,0.9214676948547933,0.9214369840838685,0.921498406444435,11,0,1
kk_interval_neumann,1e-05,36.0,12,1.0966227112321507,1.0965792157787178,1.0966662080653506,12,0,1
kk_interval_neumann,1e-05,36.0,13,1.2870085985988438,1.2869486897338902,1.2870685096942598,13,0,1
kk_interval_neumann,1e-05,36.0,14,1.492625356954872,1.4925447767193418,1.4927059406700744,14,0,1
kk_interval_neumann,1e-05,36.0,15,1.7134729863002354,1.7133667971762634,1.713579180688454,15,0,1
kk_interval_neumann,1e-05,36.0,16,1.9495514866349348,1.9494140212196385,1.949688959804365,16,0,1
kk_interval_neumann,1e-05,36.0,17,2.2008608579589697,2.20068566864029,2.2010360584341235,17,0,1
kk_interval_neumann,1e-05,36.0,18,2.4674011002723395,2.4671809089069257,2.467621307357441,18,0,1
kk_interval_neumann,1e-05,36.0,19,2.7491722135750445,2.7488988611712557,2.749445587722539,19,0,1
kk_interval_neumann,1e-05,36.0,20,3.046174197867086,3.045838594267991,3.046509831046146,20,0,1
kk_interval_neumann,1e-05,36.0,21,3.3584070531484627,3.357999126718937,3.358815019217587,21,0,1
kk_interval_neumann,1e-05,36.0,22,3.685870779419173,3.685379426737086,3.6863621845028756,22,0,1
kk_interval_neumann,1e-05,36.0,23,4.028565376679221,4.027978412229174,4.029152409547262,23,0,1
kk_interval_neumann,1e-05,36.0,24,4.386490844928603,4.385794950799266,4.387186827378818,24,0,1
kk_interval_neumann,1e-05,36.0,25,4.7596471841673225,4.758827859753865,4.760466621413545,25,0,1
kk_interval_neumann,1e-05,36.0,26,5.148034394395375,5.14707590610243,5.148993025455874,26,0,1
kk_interval_neumann,1e-05,36.0,27,5.551652475612764,5.550537806565558,5.552767323706855,27,0,1
kk_interval_neumann,1e-05,36.0,28,5.970501427819488,5.969212227577032,5.97179085076619,28,0,1
kk_interval_neumann,1e-05,36.0,29,6.404581251015549,6.4030977852874,6.406064991635806,29,0,1
kk_interval_neumann,1e-05,36.0,30,6.8538919452009415,6.852193045571653,6.855591181727521,30,0,1
kk_interval_dirichlet,0.1,12.0,1,0.06853891945200942,0.06853874954532557,0.06853908935894534,1,0,1
kk_interval_dirichlet,0.1,12.0,2,0.2741556778080377,0.27415295930995853,0.2741583963278747,2,0,1
kk_interval_dirichlet,0.1,12.0,3,0.6168502750680849,0.6168365127392121,0.6168640376424105,3,0,1
kk_interval_dirichlet,0.1,12.0,4,1.0966227112321507,1.0965792157787178,1.0966662080653506,4,0,1
kk_interval_dirichlet,0.1,12.0,5,1.713472986300236,1.7133667971762634,1.713579180688454,5,0,1
kk_interval_dirichlet,0.1,12.0,6,2.4674011002723395,2.4671809089069257,2.467621307357441,6,0,1
