model,t_abs,L,richardson_change_fv,richardson_change_fem,cross_method_difference,max_algebraic_residual,a,delta,c,quadratic_relative_l2_residual,free_exponent,free_power_relative_l2_residual,effective_counting_dimension,effective_length,length_relative_error,transverse_gap_ratio,transverse_modes_first10,multiplicity_ok,point_pass,isolation_ratio_lambda2_over_lambda1,neck_gradient_energy_fraction,quadratic_packet,tunneling_flag
kk_circle_periodic,0.001,24.0,0.0002477754354958168,0.00024802106655980277,1.2223674899217026e-10,1.0032049662759795e-11,0.06853890367612193,8.372928070243128e-07,-1.5711406598721728e-07,1.484945226708205e-08,1.9999994187291383,5.548448227709977e-09,1.0000000164062763,24.000002762090272,1.1508709466904558e-07,5.759999999999999,0,True,True,,,,
kk_circle_periodic,0.0001,30.0,0.00015860457694340284,0.00015870521449921988,3.2009115279981077e-11,1.4954172570038244e-11,0.043864904312372104,3.430745387375869e-07,-4.120126180722089e-08,6.084995345632652e-09,1.99999976181176,2.2739053934465225e-09,1.0000000067217887,30.00000141465503,4.715516771132873e-08,9.000000000000002,0,True,True,,,,
kk_circle_periodic,1e-05,36.0,0.00011015274476376688,0.00011020128456966232,1.0713513531141311e-11,2.6684160320800946e-11,0.0304617405929746,1.6548076335181615e-07,-1.3800983191295274e-08,2.9350473258192915e-09,1.9999998851137184,1.0969079261932856e-09,1.0000000032407281,36.000000818815074,2.2744863178066527e-08,12.959999999999999,0,True,True,,,,
transverse_contaminated,0.1,12.0,6.196689177563384e-05,6.198225240615571e-05,4.247677124860812e-09,6.362677269162503e-12,0.014561128889274712,0.48999999999999994,0.24842187692202222,0.11427525265760351,1.2961470735979916,0.09415042252347813,1.4760349472243735,26.03468633330579,1.169557194442149,0.08999999999999998,5,True,False,,,,
transverse_contaminated,0.01,18.0,2.7542737246291964e-05,2.7545771720939808e-05,8.395895299130559e-10,1.3409601534577464e-11,0.006471612862641823,0.48999999999999994,0.11040972276134971,0.11427525258992666,1.2961470832189663,0.0941504229336568,1.476034945993075,39.052029430671666,1.1695571905928703,0.08999999999999998,5,True,False,,,,
transverse_contaminated,0.001,24.0,1.5493163191236473e-05,1.5494123144526512e-05,2.657324257503951e-10,2.2087454794473276e-11,0.0036402822373686286,0.48999999999999994,0.062105469024368636,0.11427525257824865,1.2961470824399255,0.09415042300248007,1.4760349457961188,52.069372558976866,1.1695571899573693,0.08999999999999998,5,True,False,,,,
transverse_contaminated,0.0001,30.0,9.915735158916411e-06,9.916128103314055e-06,1.0714432585263074e-10,3.239204372566619e-11,0.0023297806323015514,0.48999999999999994,0.03974750017050911,0.11427525257508417,1.2961470911731166,0.09415042302155853,1.476034945737965,65.08671569333445,1.1695571897778152,0.09000000000000001,5,True,False,,,,
transverse_contaminated,1e-05,36.0,6.885968425281131e-06,6.886158842060627e-06,5.4638801322045495e-11,5.3083258692630005e-11,0.0016179032169697193,0.48999999999999994,0.027602430672652264,0.11427525257380776,1.296147090902989,0.09415042302799488,1.4760349457284039,78.10405882974106,1.1695571897150296,0.08999999999999998,5,True,False,,,,
cheeger_tunneling,0.1,4.0,0.00014019001829936194,0.00013714633747613945,5.083835646382919e-08,8.873960013036175e-11,0.5656658797738232,0.48999999999999994,-0.35428409801478616,0.05323048719030173,1.839875127415325,0.05231381269873066,0.8050145466194997,,,,,,,24.116582222748875,0.9238335638614863,True,False
cheeger_tunneling,0.01,4.0,0.0004800945293153592,0.0005597710713667307,6.072934443985469e-07,8.67009826400188e-10,0.5605192408625355,0.48999999999999994,1.1145478113608656,0.11126829279844626,1.4587116931534223,0.09895149016978716,0.5868328560725663,,,,,,,177.17595290726038,0.9893709783160888,False,True
cheeger_tunneling,0.001,4.0,0.000526023171691193,0.0006893293887926502,7.902719913535591e-07,1.5124788224576155e-08,0.5601471975567237,0.48999999999999994,1.5758895633269585,0.1299705249274735,1.3638000729832542,0.11169235408943304,0.4398005835361144,,,,,,,1640.0175006740499,0.9988531706295617,False,True
cheeger_tunneling,0.0001,4.0,0.0001564569748219773,0.00017035863215481006,1.1584606849032792e-07,3.506809914900873e-08,0.5607209014277738,0.48999999999999994,1.625652993257826,0.1313149566483739,1.3521909999476873,0.11198905352841668,0.3461973880838737,,,,,,,16214.381758706908,0.9998840608053804,False,True
cheeger_tunneling,1e-05,4.0,0.00015643484613506777,9.141923359758362e-05,1.247118925734116e-07,2.685092928327926e-06,0.5607984284756592,0.48999999999999994,1.6305301054344992,0.13142683211626416,1.351001450790738,0.11198450378314713,0.2836979606757226,,,,,,,161944.2557019505,0.9999883925234447,False,True

