model,t_abs,x,u1
cheeger_tunneling,0.001,-1.46,-0.5776797505126805
cheeger_tunneling,0.001,-1.455,-0.5776756260301441
cheeger_tunneling,0.001,-1.45,-0.5776714635438934
cheeger_tunneling,0.001,-1.4449999999999998,-0.5776672630542032
cheeger_tunneling,0.001,-1.44,-0.5776630245613489
cheeger_tunneling,0.001,-1.435,-0.5776587480656098
cheeger_tunneling,0.001,-1.43,-0.5776544335672669
cheeger_tunneling,0.001,-1.4249999999999998,-0.5776500810666048
cheeger_tunneling,0.001,-1.42,-0.5776456905639088
cheeger_tunneling,0.001,-1.415,-0.5776412620594684
cheeger_tunneling,0.001,-1.4100000000000001,-0.5776367955535747
cheeger_tunneling,0.001,-1.405,-0.5776322910465219
cheeger_tunneling,0.001,-1.4,-0.5776277485386061
cheeger_tunneling,0.001,-1.395,-0.5776231680301257
cheeger_tunneling,0.001,-1.3900000000000001,-0.5776185495213827
cheeger_tunneling,0.001,-1.385,-0.5776138930126807
cheeger_tunneling,0.001,-1.38,-0.5776091985043258
cheeger_tunneling,0.001,-1.375,-0.5776044659966271
cheeger_tunneling,0.001,-1.37,-0.5775996954898962
cheeger_tunneling,0.001,-1.365,-0.5775948869844464
cheeger_tunneling,0.001,-1.3599999999999999,-0.5775900404805943
cheeger_tunneling,0.001,-1.355,-0.5775851559786587
cheeger_tunneling,0.001,-1.35,-0.5775802334789611
cheeger_tunneling,0.001,-1.345,-0.577575272981825
cheeger_tunneling,0.001,-1.3399999999999999,-0.5775702744875769
cheeger_tunneling,0.001,-1.335,-0.5775652379965457
cheeger_tunneling,0.001,-1.33,-0.5775601635090628
cheeger_tunneling,0.001,-1.325,-0.5775550510254618
cheeger_tunneling,0.001,-1.3199999999999998,-0.5775499005460792
cheeger_tunneling,0.001,-1.315,-0.5775447120712542
cheeger_tunneling,0.001,-1.31,-0.5775394856013273
cheeger_tunneling,0.001,-1.305,-0.5775342211366431
cheeger_tunneling,0.001,-1.2999999999999998,-0.5775289186775473
cheeger_tunneling,0.001,-1.295,-0.5775235782243892
cheeger_tunneling,0.001,-1.29,-0.57751819977752
cheeger_tunneling,0.001,-1.2850000000000001,-0.5775127833372934
cheeger_tunneling,0.001,-1.28,-0.5775073289040659
cheeger_tunneling,0.001,-1.275,-0.5775018364781961
cheeger_tunneling,0.001,-1.27,-0.5774963060600456
cheeger_tunneling,0.001,-1.2650000000000001,-0.5774907376499784
cheeger_tunneling,0.001,-1.26,-0.5774851312483604
cheeger_tunneling,0.001,-1.255,-0.5774794868555606
cheeger_tunneling,0.001,-1.25,-0.5774738044719504
cheeger_tunneling,0.001,-1.245,-0.5774680840979034
cheeger_tunneling,0.001,-1.24,-0.5774623257337963
cheeger_tunneling,0.001,-1.2349999999999999,-0.5774565293800078
cheeger_tunneling,0.001,-1.23,-0.5774506950369191
cheeger_tunneling,0.001,-1.225,-0.5774448227049138
cheeger_tunneling,0.001,-1.22,-0.5774389123843788
cheeger_tunneling,0.001,-1.2149999999999999,-0.5774329640757025
cheeger_tunneling,0.001,-1.21,-0.5774269777792763
